Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Size Purchased,Size Exchanged
182,77,85,88,107,M,XL
189,66,88,67,90,XS,S
159,63,99,86,100,S,M
178,56,107,91,86,XL,XL
161,50,105,72,104,S,M
180,78,83,87,96,M,XL
151,80,105,71,111,XS,S
172,64,84,69,112,XS,S
166,67,98,71,87,L,L
175,84,89,94,103,S,L
157,79,97,77,95,L,XL
178,83,94,82,88,M,M
175,60,104,86,101,XS,M
159,76,108,78,101,L,XL
175,73,80,82,91,M,XL
156,88,84,81,103,XL,S
153,57,87,83,109,L,S
160,67,101,71,105,S,L
178,62,101,85,110,L,L
185,73,101,68,103,L,XL
174,72,99,79,93,L,M
170,61,94,93,101,L,M
159,80,98,88,93,XS,L
158,71,92,80,89,XL,S
173,77,105,65,106,XS,XL
184,62,107,89,86,M,M
184,74,106,80,108,S,L
185,56,101,94,99,L,L
167,55,100,89,100,L,XL
188,73,89,66,103,L,XL
181,68,96,66,85,XL,L
173,68,84,72,107,XL,L
172,85,97,76,96,M,M
181,58,96,75,103,L,M
186,85,83,70,104,XL,XL
161,87,101,83,99,L,S
162,89,86,92,89,XS,S
172,78,104,82,85,L,XL
174,73,84,69,95,M,XL
179,75,87,72,93,XL,S
166,63,90,70,91,L,L
171,55,98,76,101,XL,XL
162,56,88,76,100,XS,M
185,67,99,88,98,XL,XL
168,87,95,86,86,S,M
161,50,86,81,103,L,XL
158,53,105,82,112,L,M
156,84,101,80,87,XS,M
177,72,82,68,92,L,L
163,76,109,82,105,S,M
180,75,100,67,109,XL,M
168,57,98,80,103,XL,M
165,65,87,78,100,S,S
154,52,84,88,106,XS,L
184,81,105,73,88,S,S
161,54,105,70,92,XL,M
174,69,85,68,112,S,S
170,63,81,91,85,XS,XL
185,81,103,66,88,L,S
172,75,104,87,91,L,XL
188,85,92,75,113,XS,L
188,89,85,71,85,L,S
180,62,81,89,102,L,M
154,81,105,69,88,M,XL
184,65,103,90,104,L,S
160,60,90,70,111,XL,L
167,57,103,92,102,XL,M
161,74,93,66,91,M,L
158,89,92,66,87,XS,S
159,81,109,80,109,M,M
166,73,87,92,105,L,S
187,77,94,89,98,XS,XL
156,63,91,87,96,XL,S
162,52,82,87,99,S,M
189,85,100,77,92,S,S
158,76,102,85,89,M,L
151,64,85,89,109,M,S
154,76,81,90,94,M,M
178,77,87,69,95,XL,L
186,74,84,89,112,L,M
187,82,101,81,107,XL,XL
157,57,105,79,100,S,L
171,50,90,67,107,L,S
156,67,90,68,94,XS,S
174,56,88,79,98,L,L
153,64,85,82,93,S,M
185,73,103,92,102,L,L
155,62,81,94,104,L,M
180,58,105,67,90,L,M
188,84,84,72,105,L,M
176,73,107,75,101,M,XL
159,82,91,89,93,S,XL
188,78,83,73,100,XS,L
152,72,89,84,104,XL,XL
162,80,80,76,88,S,XL
177,89,90,69,110,M,M
169,63,95,65,108,L,L
177,79,90,78,106,M,L
157,88,88,89,99,XL,L
188,76,81,89,86,L,S
150,65,86,89,104,XL,M
162,82,109,93,103,L,L
177,67,97,79,104,XS,M
174,65,108,74,100,XS,M
182,61,99,90,108,XL,M
187,69,86,74,103,S,XL
181,78,88,67,101,XS,L
170,71,82,69,102,M,XL
185,78,105,78,87,M,M
184,71,95,81,114,S,M
168,62,86,76,106,XL,L
169,58,102,73,112,M,S
167,73,105,90,102,M,L
163,64,84,89,105,XS,L
164,85,104,67,104,M,M
150,76,86,68,113,XS,XL
152,86,107,78,93,XL,L
165,56,109,88,106,XS,S
172,57,98,70,107,L,L
161,63,95,79,111,S,L
165,89,100,69,93,XL,XL
157,66,103,93,98,XL,XL
187,89,100,70,105,L,L
161,78,105,85,108,XS,XL
173,76,98,90,86,S,S
177,50,104,69,110,XS,M
157,83,97,83,109,S,L
177,53,98,78,102,L,XL
185,73,107,68,97,XS,S
175,70,83,69,112,L,M
157,82,105,75,105,S,S
177,56,80,91,100,XL,L
177,50,106,66,90,XS,M
186,52,83,86,100,L,XL
176,80,88,84,108,XL,XL
158,59,81,80,103,S,S
162,78,85,78,89,M,S
177,66,102,71,102,L,S
184,66,109,80,95,S,L
155,70,93,72,105,L,XL
167,60,100,66,114,S,M
154,56,101,83,103,S,S
174,88,88,65,105,XL,S
159,70,106,68,87,S,S
179,67,104,91,96,XS,XL
154,84,105,90,99,M,L
182,69,80,88,110,M,L
181,62,84,86,100,XL,M
160,61,88,75,89,L,XL
170,70,101,74,103,M,S
174,55,95,65,90,XL,M
171,56,81,81,113,S,L
176,75,95,80,96,M,S
162,57,95,76,103,M,L
182,58,100,92,93,L,L
183,76,103,94,102,XL,XL
155,70,80,81,114,L,L
177,89,94,67,98,XL,M
166,74,103,92,110,XS,XL
154,88,83,82,108,L,XL
180,64,109,79,105,M,L
187,86,96,80,89,M,M
172,63,97,84,109,L,XL
186,53,92,65,106,M,M
186,69,99,65,113,XS,S
159,83,99,68,112,M,S
159,61,108,93,100,S,L
168,82,89,77,97,M,S
166,73,80,94,92,M,XL
170,69,81,68,108,M,XL
163,54,96,87,105,XS,S
158,87,101,72,100,L,L
150,79,108,77,112,XL,L
162,73,82,88,109,XS,M
153,89,96,72,86,XL,S
150,56,91,78,114,XL,S
189,85,103,94,92,M,XL
181,87,109,92,87,S,S
177,64,109,89,113,XL,L
180,72,99,65,93,M,L
157,61,89,73,114,S,M
188,78,86,90,95,M,S
175,64,89,88,105,XL,L
183,78,97,65,111,XS,S
152,70,101,71,108,XL,XL
161,64,85,89,104,XS,L
150,63,86,84,114,L,S
154,65,107,77,85,S,S
179,64,96,79,85,L,M
179,53,109,93,106,M,L
172,72,96,80,100,L,L
164,78,97,81,94,S,XL
186,58,93,73,86,XS,S
170,56,90,70,100,XS,L
163,53,81,84,111,M,S
151,54,100,76,88,M,M
160,54,80,80,103,XL,M
188,60,90,92,113,L,L
187,77,81,85,93,XL,M
183,65,95,79,87,XS,S
187,79,101,71,95,XS,XL
183,53,82,74,92,L,L
167,51,99,93,114,XL,XL
179,52,80,68,91,M,M
164,70,100,88,85,L,M
176,55,99,67,92,M,S
183,67,87,82,109,L,L
187,54,98,65,108,M,L
173,69,80,77,110,XS,S
164,77,109,86,101,L,L
179,75,108,82,111,S,XL
166,67,105,72,113,L,M
154,68,84,75,95,XS,XL
178,52,109,74,91,XS,M
153,58,80,93,113,M,S
159,85,90,68,93,XS,L
166,80,100,89,98,XS,M
159,66,88,68,89,XS,S
166,72,84,68,102,XL,XL
169,83,81,93,114,XL,M
173,54,92,76,108,XS,L
154,64,97,72,109,XL,XL
183,52,105,92,107,L,S
155,68,104,77,112,S,XL
151,77,91,72,97,S,M
172,53,106,76,99,XL,L
165,73,103,82,106,M,S
180,80,89,79,112,XS,L
160,60,99,89,88,S,M
165,86,81,78,85,XS,S
153,58,91,69,108,L,XL
189,66,90,94,103,L,XL
153,50,83,93,96,XL,M
174,52,90,79,91,XS,M
152,75,88,72,97,XL,S
152,75,106,67,91,XL,XL
176,72,85,76,93,XL,S
178,79,94,69,85,XL,S
181,59,89,93,105,S,S
168,57,101,73,108,S,L
170,74,100,84,97,M,S
154,71,85,67,113,XS,S
167,64,80,87,103,L,S
177,59,108,72,105,XS,S
171,69,100,85,114,L,L
170,72,107,77,85,S,M
155,50,101,72,109,XL,L
150,51,103,69,104,M,S
154,68,99,89,105,M,M
161,63,109,71,103,M,L
163,61,102,73,112,S,S
175,75,105,69,114,XL,S
176,76,101,72,107,XS,XL
175,64,99,68,89,L,M
171,50,101,73,111,S,M
179,77,108,92,110,M,XL
175,67,107,86,87,L,L
185,83,87,78,86,M,L
150,81,90,83,110,M,M
157,78,94,77,106,XL,L
184,74,98,67,94,XL,S
164,75,87,68,90,XL,S
171,88,92,65,103,S,XL
163,57,97,86,113,XS,L
175,68,101,65,109,XL,XL
172,78,96,80,103,XS,L
163,82,85,68,97,L,M
173,87,104,93,101,XS,M
175,52,92,76,102,S,S
163,68,105,70,95,XS,S
156,59,105,88,111,XS,S
152,76,97,84,112,S,L
172,64,90,73,104,S,XL
187,75,80,72,114,S,L
184,73,97,78,97,S,M
164,62,84,79,108,M,XL
174,81,85,85,95,M,XL
186,86,80,94,104,M,L
177,53,86,86,103,XL,M
159,62,106,69,94,XL,XL
188,58,83,79,112,S,L
166,83,88,70,87,M,M
188,86,94,65,105,L,L
171,56,85,84,90,L,M
174,61,96,68,113,S,S
166,70,99,66,105,M,L
162,60,97,70,107,S,L
169,63,101,66,104,S,L
174,83,83,67,89,L,L
159,74,93,84,93,XL,S
152,53,82,81,106,XS,S
167,75,80,73,94,S,XL
171,59,108,73,95,XS,S
183,51,90,83,101,XS,S
157,84,80,69,112,XL,M
189,68,91,89,95,XL,M
155,57,84,65,95,M,S
175,63,94,89,97,XL,M
183,59,97,81,111,XL,M
155,52,88,78,103,M,S
186,87,92,79,90,XL,S
182,78,107,69,86,L,XL
171,64,92,81,98,XS,L
155,67,106,87,91,M,XL
153,68,89,87,85,M,M
179,77,89,75,113,XS,L
160,75,101,74,86,XS,M
179,59,86,81,93,XS,XL
180,53,107,89,109,XS,XL
173,51,101,65,107,S,XL
180,65,86,71,104,M,M
189,80,99,76,102,S,S
185,68,89,82,94,S,L
173,77,105,94,92,XS,L
180,66,104,65,105,XL,L
155,77,100,84,92,XS,XL
151,68,103,76,86,XL,M
169,86,107,68,102,XS,XL
177,72,92,90,95,M,L
160,69,94,76,95,XL,L
153,62,107,86,103,M,XL
164,62,107,65,95,S,L
155,60,85,94,94,XS,L
179,64,99,65,92,S,M
187,66,91,67,99,XS,L
151,77,98,85,92,XL,XL
164,68,90,76,103,XS,XL
160,53,85,86,85,L,S
157,71,80,85,107,L,L
175,71,81,77,104,L,S
154,86,102,93,87,M,XL
155,88,94,77,105,L,S
175,83,83,85,96,XS,L
168,89,94,82,106,M,M
169,82,90,92,100,XL,L
182,61,89,92,114,M,S
169,51,96,65,101,S,S
161,77,81,70,112,L,S
150,59,99,89,112,S,XL
175,71,103,87,100,M,L
163,66,89,88,93,M,S
186,52,109,90,103,S,L
160,56,82,68,85,XS,XL
185,57,98,70,113,XS,L
162,69,107,67,109,L,XL
152,61,84,81,102,XL,XL
182,84,82,75,114,S,M
155,66,87,68,110,XS,M
154,59,107,84,90,XL,S
172,71,109,65,96,L,L
159,87,91,94,87,L,S
151,82,93,68,95,XL,L
151,62,87,74,102,XS,L
169,76,84,86,100,XL,XL
150,64,87,94,108,XS,M
186,71,91,65,97,S,L
158,79,94,91,85,S,XL
166,89,98,68,90,S,L
158,86,95,83,98,XL,L
160,83,93,94,101,L,L
164,83,107,65,109,L,L
173,84,86,80,97,M,L
187,68,87,83,97,M,XL
179,88,109,85,90,S,M
180,82,97,86,90,XL,M
154,77,103,82,109,S,XL
163,86,85,66,114,S,XL
160,74,105,70,89,S,L
161,73,102,83,98,XS,S
184,51,96,69,88,S,L
150,80,101,93,86,XS,S
189,82,98,92,86,XS,XL
171,79,106,92,113,XL,L
178,61,94,66,101,XL,S
157,61,105,65,94,S,L
160,73,85,80,98,XS,XL
186,73,105,89,103,XL,S
163,60,91,85,101,M,L
179,62,98,66,113,XS,M
184,76,85,90,106,L,XL
170,57,90,68,114,M,S
186,59,99,67,95,M,M
154,57,108,87,113,XS,M
168,69,99,81,91,S,S
153,56,95,76,107,XL,L
174,63,106,76,88,S,S
174,77,97,84,98,L,S
167,51,93,71,104,L,M
189,57,83,91,108,M,M
157,62,106,74,104,M,M
188,70,91,93,101,L,XL
163,84,106,84,103,XS,L
181,72,102,84,114,XS,L
187,64,100,75,101,L,S
182,51,87,92,109,XL,M
172,61,86,94,111,XS,S
182,52,88,88,98,XS,XL
166,52,104,76,110,XS,S
182,68,96,80,98,XL,M
151,51,89,68,110,S,S
163,86,108,66,100,XL,M
189,66,107,89,105,S,M
189,63,82,94,112,XL,S
188,77,100,94,99,XS,XL
155,76,104,93,114,XS,S
156,85,105,77,106,XS,L
178,71,97,79,95,M,S
182,88,90,87,112,XL,S
179,79,85,65,107,M,XL
176,79,100,81,112,XL,XL
185,77,93,84,92,XL,XL
187,75,92,84,90,M,S
182,71,83,73,100,S,M
186,70,99,70,96,XS,M
176,50,99,67,90,XL,M
182,86,90,86,97,L,XL
153,62,97,66,91,S,M
171,70,80,82,92,XL,L
151,58,91,87,96,XL,L
159,66,97,94,113,S,XL
154,70,86,83,86,L,S
182,88,80,67,93,XS,XL
187,71,101,92,97,XS,M
180,55,97,82,97,L,S
185,65,94,84,100,M,M
173,75,82,84,112,XS,L
164,54,86,83,85,S,L
178,58,85,73,91,M,XL
157,89,94,80,97,S,S
154,63,94,70,98,L,XL
178,79,85,85,105,XS,S
153,75,87,93,101,XL,XL
151,68,101,92,100,L,XL
180,72,105,77,113,XS,S
175,84,103,69,111,XS,XL
154,54,92,77,109,XL,M
169,65,90,84,112,M,M
160,66,83,71,96,M,S
159,81,86,76,87,M,M
189,87,107,94,93,M,XL
157,51,92,94,110,S,S
175,78,85,68,111,L,S
162,78,93,72,92,L,M
189,68,98,80,111,XS,M
167,89,95,72,87,M,L
174,55,106,81,108,M,XL
182,88,105,78,99,XS,L
189,57,83,76,106,XL,S
161,73,84,67,90,S,S
185,69,88,91,95,XL,M
154,54,82,66,87,S,L
186,89,101,94,100,XS,S
157,83,89,77,90,XL,XL
177,65,96,85,95,M,L
180,56,98,75,113,XL,XL
158,65,89,88,92,XL,XL
178,56,109,76,113,S,M
163,76,91,82,107,S,M
189,63,102,94,94,M,XL
171,63,86,73,94,M,L
160,82,97,93,107,S,M
172,82,98,71,87,XL,L
150,69,94,70,110,S,M
170,56,91,78,103,L,S
172,88,86,69,105,S,S
150,78,89,84,93,XL,M
189,73,104,88,97,L,M
170,55,101,65,110,M,M
158,73,107,76,105,XS,XL
158,89,109,83,96,M,XL
159,72,99,74,98,XS,M
175,87,109,88,89,XS,XL
184,59,108,69,90,S,S
175,60,104,70,97,L,M
187,55,84,85,90,S,S
156,82,88,93,95,M,M
167,61,109,91,113,M,S
176,76,95,78,97,L,S
183,87,86,85,96,XS,XL
176,67,104,68,114,S,M
166,88,106,81,100,XS,S
173,62,104,81,90,S,S
156,79,84,79,101,XS,XL
173,83,84,68,104,L,S
182,85,94,81,100,L,S
175,51,87,76,110,XS,S
177,85,103,79,96,S,S
170,67,88,91,102,L,XL
156,54,90,76,93,XS,S
166,68,109,75,87,XL,S
169,67,107,91,94,S,M
169,81,101,81,95,S,L
171,70,81,72,86,XL,L
177,59,82,76,92,L,S
189,86,92,93,104,S,XL
156,71,90,73,95,M,M
150,62,107,75,102,M,S
181,66,89,67,104,XS,M
179,73,94,93,98,L,XL
172,63,85,85,91,M,L
168,57,80,67,85,XS,M
181,86,93,85,113,XS,S
178,77,103,74,112,L,XL
178,79,90,87,85,M,M
165,75,101,89,86,S,M
189,89,82,88,87,M,M
168,60,93,84,88,XS,M
167,63,81,79,98,XL,XL
150,70,108,85,107,XS,XL
163,57,95,85,102,S,L
151,52,85,74,107,XL,M
179,78,93,82,99,S,S
187,72,89,92,100,XS,M
153,67,85,87,92,XL,L
150,84,88,87,108,L,XL
157,62,86,73,105,L,L
178,61,104,93,110,XS,L
188,54,81,73,92,XL,M
152,88,90,68,112,XS,M
159,80,88,90,91,XL,L
182,63,93,74,107,XS,S
177,82,95,88,106,M,L
181,82,101,88,106,L,M
156,64,95,82,111,L,XL
178,65,86,76,109,S,M
157,87,89,89,85,M,L
150,55,100,80,97,M,XL
152,74,85,91,91,S,S
173,64,96,68,85,XS,L
172,53,80,81,94,M,L
157,53,81,81,97,M,L
186,79,106,85,88,L,M
152,83,93,87,113,S,XL
182,76,83,69,91,S,S
157,81,88,67,90,M,XL
183,88,102,91,105,XL,L
184,58,85,87,95,S,L
181,57,96,81,107,M,L
173,63,100,75,93,XS,L
163,82,90,65,114,S,S
181,72,107,92,106,L,M
165,70,108,82,110,S,XL
153,61,83,81,91,L,S
186,51,100,73,93,XS,S
170,62,106,84,107,M,S
163,53,88,71,90,L,S
180,69,107,69,103,L,S
167,63,95,94,98,XS,S
156,79,82,80,85,XL,S
159,78,83,71,110,S,M
156,57,103,77,100,XL,M
182,61,82,77,93,S,S
172,87,92,79,107,XS,L
168,51,108,81,103,XL,S
168,89,104,81,94,XS,XL
185,63,100,91,100,M,XL
178,55,105,83,109,XL,S
167,89,80,74,87,L,M
151,80,102,66,103,L,XL
150,66,102,78,97,XS,M
169,81,101,67,91,S,L
160,61,82,71,86,XL,M
151,62,82,89,110,XL,XL
172,74,89,75,107,L,L
161,80,106,81,107,L,M
169,86,104,79,101,M,L
187,87,92,75,111,S,S
179,72,107,79,86,S,S
158,63,90,79,89,S,M
183,55,89,70,114,XS,XL
184,74,86,79,88,XS,S
171,72,103,93,114,S,M
173,61,85,73,87,M,L
159,85,80,83,98,M,S
179,88,96,88,95,XS,M
181,55,91,94,107,L,L
166,87,83,92,93,M,S
166,89,82,69,100,XS,S
163,57,85,86,87,XL,L
158,57,105,77,94,S,XL
189,89,107,82,85,M,M
151,82,95,84,93,XS,L
158,85,88,78,112,L,XL
171,84,105,93,96,S,L
153,71,90,80,85,S,M
175,72,99,68,100,M,L
178,89,104,81,114,S,XL
183,71,100,84,92,XL,S
172,54,92,78,98,XL,L
186,80,102,82,98,S,XL
160,62,98,70,94,S,XL
155,77,82,86,85,XL,S
167,69,91,72,90,XL,XL
170,82,98,73,93,M,M
185,65,87,88,103,L,XL
187,78,93,65,106,XL,S
183,72,101,77,100,L,L
166,73,88,67,103,L,XL
186,83,104,70,95,XL,XL
174,56,103,81,114,M,M
187,87,96,72,105,S,S
161,86,85,94,95,XS,S
172,53,83,70,98,S,S
171,83,83,80,91,XS,S
170,71,98,65,111,XL,S
180,72,104,82,96,S,L
155,64,81,86,104,XS,XL
176,80,96,90,104,M,XL
189,58,109,78,107,XL,XL
183,74,94,88,89,XL,M
161,74,89,69,85,XL,S
156,70,82,81,95,S,L
